"name","start_date","type","distance_km","moving_time_min","cycle_phase","cycle_day","cycle_id","user_id"
"Afternoon Run",2024-07-19,"Run",1.62,9.8,"Menstrual",5,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Walk",2024-07-19,"Walk",0.93,10.6,"Menstrual",5,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Walk",2024-07-20,"Walk",0.98,14.3,"Follicular",6,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-07-20,"Run",1.84,11.2,"Follicular",6,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2024-07-20,"Run",2.65,17,"Follicular",6,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-20,"Run",3.44,45.7,"Follicular",6,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Walk",2024-07-21,"Walk",1.22,16.7,"Follicular",7,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"good morninngggg",2024-07-21,"Run",17.68,100.8,"Follicular",7,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"a cheeky night",2024-07-22,"Run",6.86,65.7,"Follicular",8,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-22,"Run",2.05,11.7,"Follicular",8,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-07-23,"Run",1.71,11.7,"Follicular",9,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-23,"Run",1.67,10.7,"Follicular",9,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"you already know what day it issss",2024-07-24,"Run",4.98,25.9,"Follicular",10,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Walk",2024-07-25,"Walk",1.1,13.8,"Follicular",11,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-25,"Run",2.17,13,"Follicular",11,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Night Run",2024-07-26,"Run",1.72,11,"Follicular",12,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-26,"Run",1.72,10,"Follicular",12,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-07-27,"Run",1.8,10.5,"Follicular",13,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2024-07-28,"Run",1.61,8.6,"Ovulatory",14,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"back in the ridgeeeee",2024-07-28,"Run",1.63,8.9,"Ovulatory",14,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-28,"Run",2.13,12.1,"Ovulatory",14,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-07-29,"Run",1.61,9.3,"Ovulatory",15,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-07-30,"Run",5.95,41.8,"Ovulatory",16,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"the idea was planted so i had to do it",2024-07-31,"Run",33.95,228.6,"Luteal",17,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"morning miles",2024-08-02,"Run",3.23,19.1,"Luteal",19,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"a family affair😂😂😂",2024-08-03,"Run",9.66,55.5,"Luteal",20,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"boardwalk run/walk x MORGAN",2024-08-04,"Run",16.1,126.1,"Luteal",21,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"everyone wish grace a happy birthday👹👹",2024-08-05,"Run",12.96,73.1,"Luteal",22,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-08-06,"Run",3.21,18.2,"Luteal",23,13,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"system reset",2024-08-07,"Run",4.83,26.9,"Menstrual",1,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2024-08-08,"Run",4.83,26.4,"Menstrual",2,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"we backkkkk",2024-08-09,"Run",3.23,16.2,"Menstrual",3,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"good morningggg beautiful people☀️☀️",2024-08-11,"Run",6.45,35.5,"Menstrual",5,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"that bridge is the bane of my existence",2024-08-13,"Run",8.92,54.4,"Follicular",7,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"CGRC🤘🤘🤘",2024-08-14,"Run",4.4,26.2,"Follicular",8,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"had to drop my car at the garage",2024-08-16,"Run",4.84,30.7,"Follicular",10,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"HAPPY SUNDAYYYY☀️✨",2024-08-18,"Run",9.71,58,"Follicular",12,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-08-19,"Run",1.62,9.2,"Follicular",13,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"brickell run clubbbb",2024-08-20,"Run",5.79,37.4,"Ovulatory",14,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"picked up my baby",2024-08-20,"Run",5.2,30.3,"Ovulatory",14,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"coconut grove run clubbb",2024-08-21,"Run",4.89,28.7,"Ovulatory",15,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-08-22,"Run",1.73,9.2,"Ovulatory",16,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-08-23,"Run",1.83,9.9,"Luteal",17,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"morning mile",2024-08-26,"Run",1.61,8.8,"Luteal",20,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Weight Training",2024-08-27,"WeightTraining",0,91.9,"Luteal",21,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"morning mile",2024-08-27,"Run",1.71,8.7,"Luteal",21,14,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-08-28,"Run",1.62,8.6,"Menstrual",1,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Weight Training",2024-08-29,"WeightTraining",0,83.8,"Menstrual",2,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-08-30,"Run",1.68,9.1,"Menstrual",3,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2024-08-30,"Run",1.65,8.3,"Menstrual",3,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-09-02,"Run",1.62,8.9,"Follicular",6,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-09-04,"Run",1.75,10.1,"Follicular",8,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"love a good night run",2024-09-05,"Run",4.88,31.5,"Follicular",9,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"☀️✨✨☀️✨",2024-09-08,"Run",9.75,55.8,"Follicular",12,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"happy hump dayyy🐫🐫🐫🐫",2024-09-11,"Run",4.93,28.8,"Ovulatory",15,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Night Run",2024-09-12,"Run",5.32,32.6,"Ovulatory",16,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-09-13,"Run",1.9,10.2,"Luteal",17,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-09-13,"Run",3.22,19.8,"Luteal",17,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2024-09-14,"Run",2.89,15.8,"Luteal",18,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-09-14,"Run",1.66,8.8,"Luteal",18,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"happy parents weekend🙌🙌🙌",2024-09-15,"Run",9.74,53.9,"Luteal",19,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"thank you anna for motivating me",2024-09-16,"Swim",0.23,5.1,"Luteal",20,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-09-16,"Run",1.68,9.3,"Luteal",20,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"in honor of the full moon",2024-09-17,"Run",0.81,4.8,"Luteal",21,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-09-17,"Run",3.9,24.5,"Luteal",21,15,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"fp grove run!",2024-09-18,"Run",4.84,28.8,"Menstrual",1,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Swim",2024-09-19,"Swim",1.1,24.6,"Menstrual",2,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-09-20,"Run",1.64,9.3,"Menstrual",3,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"all around a morning vibe✨💫✨🌅✨",2024-09-21,"Run",5.09,26.9,"Menstrual",4,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"sunday routine🤌🤌",2024-09-22,"Run",9.69,56.5,"Menstrual",5,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Swim",2024-09-24,"Swim",1.23,31.8,"Follicular",7,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"the weather was 👨‍🍳💋",2024-09-25,"Run",5.62,35.6,"Follicular",8,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"morning sprint🏃🏽‍♀️💨💨💨",2024-09-28,"Run",4.51,59.6,"Follicular",11,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"peak sun🥵🥵🥵🥵🥵",2024-09-29,"Run",4.84,30.6,"Follicular",12,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"HAPPYYYYY SUNDAYYYYYYY EVERYONE",2024-09-29,"Run",1.72,11.1,"Follicular",12,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2024-09-30,"Run",5.06,30.8,"Follicular",13,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"RUN CLUBBBBBB",2024-10-02,"Run",4.84,24.7,"Ovulatory",15,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"back in the old stomping grounds😤😤😤",2024-10-04,"Run",4.84,26.5,"Luteal",17,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"when in new haven",2024-10-06,"Run",21.09,126.7,"Luteal",19,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Walk",2024-10-09,"Walk",7.7,95.2,"Luteal",22,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Walk",2024-10-10,"Walk",1.72,18.3,"Luteal",23,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"are you joking.",2024-10-11,"Run",7.46,42.1,"Luteal",24,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-10-11,"Run",1.63,7.5,"Luteal",24,16,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"a cheeky run around santa monica",2024-10-14,"Run",4.58,26.2,"Menstrual",1,17,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Walk",2024-10-14,"Walk",6.62,91.1,"Menstrual",1,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2024-10-19,"Swim",1.65,46,"Follicular",6,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"this weather is simply🤌✨",2024-10-21,"Run",11.19,61.8,"Follicular",8,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Night Run",2024-10-23,"Run",9.04,58.3,"Follicular",10,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Swim",2024-10-24,"Swim",0.73,18.9,"Follicular",11,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2024-10-25,"Swim",1.14,32.3,"Follicular",12,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-10-25,"Run",14.48,126.4,"Follicular",12,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"curiosity killed the cat",2024-10-29,"Run",2.12,13.4,"Ovulatory",16,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"brickell run club",2024-10-29,"Run",7.51,42.6,"Ovulatory",16,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"you already know what day it isssss",2024-10-30,"Run",5,32.8,"Luteal",17,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2024-11-01,"Run",4.24,26.9,"Luteal",19,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2024-11-02,"Run",8.94,56.3,"Luteal",20,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2024-11-05,"Run",3.97,23.1,"Luteal",23,18,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"GROVE RUN",2024-11-07,"Run",11.27,69.5,"Menstrual",1,19,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Weight Training",2024-11-07,"WeightTraining",0,136.8,"Menstrual",1,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2024-11-08,"Run",4.95,48,"Menstrual",2,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-11-09,"Run",9.67,64.6,"Menstrual",3,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Weight Training",2024-11-12,"WeightTraining",0,74.6,"Follicular",6,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"GROVEEEE STREEEET FLOCKAAA",2024-11-14,"Run",8.06,50.1,"Follicular",8,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"goood mooornningggg",2024-11-15,"Run",6.71,41.9,"Follicular",9,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Weight Training",2024-11-18,"WeightTraining",0,71.2,"Follicular",12,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2024-11-19,"Run",1.92,10.9,"Follicular",13,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"that was definitely something",2024-11-20,"Run",21.45,157.6,"Ovulatory",14,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"lil adventure",2024-11-24,"Run",1.64,9.8,"Luteal",18,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"sf has stolen my ❤️",2024-11-24,"Run",8.05,51.3,"Luteal",18,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"BACKKK",2024-11-25,"Run",14.78,93.4,"Luteal",19,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-11-26,"Run",1.66,10.1,"Luteal",20,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"happy thanksgiving eve🦃🕺😮‍💨✨",2024-11-27,"Run",21.11,139.4,"Luteal",21,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"turkey trot.",2024-11-28,"Run",5.01,28.8,"Luteal",22,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2024-11-30,"Run",1.64,9.2,"Luteal",24,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"weather was phenomenal",2024-11-30,"Run",5.15,27.2,"Luteal",24,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"night run was a viiibbeeeee",2024-12-01,"Run",18.73,101.2,"Luteal",25,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"yeah yeahhhhhhh",2024-12-06,"Run",5.11,29.3,"Luteal",30,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"cold as 🧱",2024-12-12,"Run",4.2,23.3,"Luteal",36,20,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"👯‍♀️🥶🏃🏽‍♀️🏃🏽‍♀️💨💨",2024-12-13,"Run",22.86,148.8,"Menstrual",1,21,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2024-12-23,"Swim",0.78,16.3,"Follicular",11,21,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Knee was acting up",2024-12-28,"Run",8.68,59.1,"Ovulatory",16,21,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Happy new year🕺",2025-01-01,"Run",19.81,132.2,"Luteal",20,21,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"RUN + PLUNGE",2025-01-02,"Run",7.25,42.7,"Luteal",21,21,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"HGW with my gorls",2025-01-04,"Walk",4.14,51.2,"Menstrual",1,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Shiver me timbers",2025-01-08,"Run",4.2,24.4,"Menstrual",5,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Walk",2025-01-10,"Walk",1.83,21,"Follicular",7,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Goodbye, soldier.",2025-01-11,"Run",6.52,39.2,"Follicular",8,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Backkkk",2025-01-12,"Run",21.11,140.8,"Follicular",9,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Mind reset",2025-01-13,"Run",1.68,8.1,"Follicular",10,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2025-01-15,"Run",4.84,24.3,"Follicular",12,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2025-01-16,"Run",6.83,39.1,"Follicular",13,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2025-01-16,"Run",1.62,7.9,"Follicular",13,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Weighted run",2025-01-17,"Run",5.02,28.4,"Ovulatory",14,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2025-01-18,"Run",3.42,19.8,"Ovulatory",15,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Ay ay Sunday long runnn",2025-01-19,"Run",24.34,155.6,"Ovulatory",16,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-01-20,"Swim",0.91,20.7,"Luteal",17,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2025-01-21,"Run",4.02,23.3,"Luteal",18,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2025-01-21,"Run",4.84,26.4,"Luteal",18,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning mile",2025-01-21,"Run",1.62,7.9,"Luteal",18,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2025-01-22,"Run",4.84,25.4,"Luteal",19,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Had the best cinnamon buns of my life today",2025-01-24,"Run",3.88,20.8,"Luteal",21,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Fetty waaapppp",2025-01-25,"Run",27.98,179.9,"Luteal",22,22,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2025-01-26,"Run",6.87,38.5,"Menstrual",1,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Nike after dark run",2025-01-27,"Run",5.43,27.5,"Menstrual",2,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2025-01-27,"Run",1.61,7.7,"Menstrual",2,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Weight Training",2025-01-28,"WeightTraining",0,89.9,"Menstrual",3,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Majestic Morning Run",2025-01-29,"Run",9.95,55.5,"Menstrual",4,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Swim",2025-01-30,"Swim",0.46,10.4,"Menstrual",5,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Had ourselves a day",2025-01-31,"Run",42.37,290.3,"Follicular",6,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"A BEAUTIFUL morning",2025-02-01,"Run",6.55,37.4,"Follicular",7,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Walk",2025-02-02,"Walk",2.78,30.6,"Follicular",8,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Walk",2025-02-03,"Walk",1.6,20.1,"Follicular",9,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2025-02-04,"Run",2.89,18.1,"Follicular",10,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Walk",2025-02-04,"Walk",1.82,20.1,"Follicular",10,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Night Run",2025-02-05,"Run",1.78,10.8,"Follicular",11,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Weight Training",2025-02-06,"WeightTraining",0,91.9,"Follicular",12,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Weight Training",2025-02-07,"WeightTraining",0,73.7,"Follicular",13,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Weight Training",2025-02-11,"WeightTraining",0,37.4,"Luteal",17,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"We backkk",2025-02-13,"Run",3.33,19.2,"Luteal",19,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Swim",2025-02-16,"Swim",0.5,12.1,"Luteal",22,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2025-02-18,"Run",1.63,8.8,"Luteal",24,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2025-02-19,"Run",2.9,16.3,"Luteal",25,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2025-02-19,"Run",1.73,8.9,"Luteal",25,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Night Run",2025-02-26,"Run",1.61,8.7,"Luteal",32,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Sunset run",2025-02-26,"Run",10.83,60.3,"Luteal",32,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2025-03-02,"Run",4.85,26.7,"Luteal",36,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Yoga",2025-03-03,"Yoga",0,62,"Luteal",37,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Pilates",2025-03-04,"Workout",0,42.5,"Luteal",38,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-03-09,"Swim",0.46,11.9,"Luteal",43,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Swim",2025-03-12,"Swim",1.67,45.9,"Luteal",46,23,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Swim",2025-03-13,"Swim",1.39,45.5,"Menstrual",1,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Swim",2025-03-17,"Swim",0.59,14.8,"Menstrual",5,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-03-18,"Swim",0.66,18.6,"Follicular",6,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-03-19,"Swim",0.69,18.2,"Follicular",7,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Swim",2025-03-20,"Swim",0.73,21.5,"Follicular",8,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-03-21,"Swim",0.82,22.6,"Follicular",9,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-03-23,"Swim",0.75,20.6,"Follicular",11,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Walk",2025-03-24,"Walk",1.73,23.8,"Follicular",12,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Swim",2025-03-24,"Swim",0.96,24.1,"Follicular",12,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Swim",2025-03-26,"Swim",0.82,19,"Ovulatory",14,24,"19777d02-d07c-45e5-a48b-2a352a3cebba"
